,Percentage,count,newspaper
1790,15.0,3,GDL
1800,25.0,10,GDL
1810,7.69,2,GDL
1820,3.12,1,GDL
1830,5.56,2,GDL
1850,8.33,2,GDL
1860,4.17,1,GDL
1870,4.17,1,GDL
1880,4.17,1,GDL
1890,3.85,1,GDL
1900,14.29,4,GDL
1910,13.33,4,GDL
1920,21.43,8,GDL
1930,21.43,8,GDL
1940,21.05,10,GDL
1950,16.67,8,GDL
1960,21.11,25,GDL
1970,14.1,14,GDL
1980,32.35,60,GDL
1990,35.58,115,GDL
