,Percentage,count,newspaper
1880,2.94,1,IMP
1890,23.08,17,IMP
1900,25.0,25,IMP
1910,32.69,27,IMP
1920,45.31,46,IMP
1930,35.19,31,IMP
1940,28.57,24,IMP
1950,50.0,105,IMP
1960,41.67,175,IMP
1970,41.0,202,IMP
1980,50.48,343,IMP
1990,48.02,218,IMP
2000,70.83,657,IMP
2010,77.66,699,IMP
